类别,月份,排名,车型,销量,口碑评分,价格区间
轿车,2025-03,01,宏光MINIEV,39957,4.45,3.28-9.99万
轿车,2025-03,02,海鸥,33965,4.52,6.98-8.58万
轿车,2025-03,03,星愿,32481,4.54,6.88-9.78万
轿车,2025-03,04,小米SU7,29244,4.42,21.59-29.99万
轿车,2025-03,05,秦PLUS,27387,4.48,7.98-17.98万
轿车,2025-03,06,Model 3,25938,4.58,23.55-33.95万
轿车,2025-03,07,朗逸,24042,3.64,8.00-15.19万
轿车,2025-03,08,秦L,21671,4.60,9.98-15.38万
轿车,2025-03,09,轩逸,20784,4.38,10.86-17.49万
轿车,2025-03,10,速腾,19286,4.39,13.99-17.29万
轿车,2025-03,11,帕萨特,19099,4.40,16.45-23.99万
轿车,2025-03,12,海豹06新能源,17126,4.43,9.98-13.98万
轿车,2025-03,13,小鹏MONA M03,16593,4.56,11.98-13.98万
轿车,2025-03,14,凯美瑞,16582,4.37,17.18-25.98万
轿车,2025-03,15,五菱缤果,15935,4.49,5.68-8.48万
轿车,2025-03,16,迈腾,15673,4.61,17.49-24.69万
轿车,2025-03,17,汉,15655,4.42,16.58-25.98万
轿车,2025-03,18,长安Lumin,15425,4.53,3.79-6.59万
轿车,2025-03,19,星瑞,15210,4.49,9.97-13.87万
轿车,2025-03,20,奥迪A6L,15105,4.53,42.79-65.68万
轿车,2025-03,21,宝马3系,14422,4.51,31.99-39.99万
轿车,2025-03,22,奔驰C级,14025,4.48,33.48-38.06万
轿车,2025-03,23,熊猫,13961,4.59,2.99-5.39万
轿车,2025-03,24,逸动,13954,4.57,7.29-9.69万
轿车,2025-03,25,红旗H5,12849,4.49,15.98-22.58万
轿车,2025-03,26,雅阁,11982,4.51,17.98-23.88万
轿车,2025-03,27,奔驰E级,11501,4.43,45.18-59.98万
轿车,2025-03,28,海豚,11477,4.53,9.98-12.98万
轿车,2025-03,29,帝豪,11202,4.53,6.29-14.98万
轿车,2025-03,30,艾瑞泽8,10577,4.34,9.99-14.89万
轿车,2025-03,31,亚洲龙,10226,4.42,17.88-25.68万
轿车,2025-03,32,宝马5系,9085,4.51,43.99-52.59万
轿车,2025-03,33,奔腾小马,8776,4.50,2.49-5.39万
轿车,2025-03,34,小鹏P7+,8545,4.53,18.68-20.88万
轿车,2025-03,35,驱逐舰05,8135,4.52,7.98-13.68万
轿车,2025-03,36,银河L6,8027,4.61,7.98-10.68万
轿车,2025-03,37,海豹06GT,7755,4.46,13.68-18.68万
轿车,2025-03,38,MG5,7581,4.52,6.79-9.99万
轿车,2025-03,39,AION S,7532,4.47,13.98-14.68万
轿车,2025-03,40,荣威i5,7445,4.14,6.89-9.09万
轿车,2025-03,41,卡罗拉,7417,3.86,11.68-15.58万
轿车,2025-03,42,宝来,7406,4.23,11.29-14.39万
轿车,2025-03,43,长安启源A07,7078,4.54,11.99-15.99万
轿车,2025-03,44,零跑T03,6851,4.60,5.99-6.99万
轿车,2025-03,45,伊兰特,6790,4.49,9.98-14.98万
轿车,2025-03,46,奥迪A4L,6283,4.54,28.98-36.28万
轿车,2025-03,47,AION RT,5925,4.57,11.98-16.58万
轿车,2025-03,48,领克03,5800,4.45,12.78-42.03万
轿车,2025-03,49,奥迪A3,5682,4.48,16.59-20.99万
轿车,2025-03,50,大众ID.3,5601,4.00,12.99-15.59万
