类别,月份,排名,车型,销量,口碑评分,价格区间
MPV,2025-02,01,腾势D9,7593,4.53,33.98-60.06万
MPV,2025-02,02,赛那SIENNA,4803,4.52,29.98-41.08万
MPV,2025-02,03,别克GL8,4786,4.59,22.99-36.99万
MPV,2025-02,04,岚图梦想家,3972,4.54,32.99-44.99万
MPV,2025-02,05,格瑞维亚,3597,4.45,29.98-41.68万
MPV,2025-02,06,夏,2733,4.41,24.98-30.98万
MPV,2025-02,07,传祺M8,2542,4.47,17.98-34.28万
MPV,2025-02,08,极氪009,2250,4.39,43.90-89.90万
MPV,2025-02,09,传祺M6,2149,4.53,11.98-14.58万
MPV,2025-02,10,五菱佳辰,1867,4.00,6.88-11.58万
MPV,2025-02,11,菱智,1428,4.57,5.99-9.99万
MPV,2025-02,12,别克GL8新能源,1380,4.03,24.99-41.99万
MPV,2025-02,13,奥德赛,1188,4.42,23.58-43.98万
MPV,2025-02,14,传祺E8新能源,1161,4.48,21.68-23.88万
MPV,2025-02,15,极狐 考拉,1135,4.59,13.18-16.98万
MPV,2025-02,16,小鹏X9,900,4.54,35.98-41.98万
MPV,2025-02,17,锐胜王牌M7,894,4.59,6.18-15.38万
MPV,2025-02,18,威然,885,4.58,28.98-40.28万
MPV,2025-02,19,瑞风M3,796,4.48,6.58-12.79万
MPV,2025-02,20,大通G50,795,4.56,8.68-12.98万
MPV,2025-02,21,库斯途,697,4.52,16.98-22.08万
MPV,2025-02,22,理想MEGA,681,4.71,52.98-55.98万
MPV,2025-02,23,艾力绅,538,4.47,27.98-33.18万
MPV,2025-02,24,奔驰V级,532,4.60,49.68-66.98万
MPV,2025-02,25,威霆,492,4.29,33.68-38.68万
MPV,2025-02,26,世纪,460,4.61,46.99-68.99万
MPV,2025-02,27,传祺E9,349,4.54,31.98-40.98万
MPV,2025-02,28,魏牌 高山,343,4.56,30.98-35.38万
MPV,2025-02,29,五菱征程,281,4.43,6.98-9.08万
MPV,2025-02,30,大通G10,255,4.63,10.80-18.98万
MPV,2025-02,31,大家9,240,4.49,25.99-40.99万
MPV,2025-02,32,瑞风E3,204,4.61,13.99-20.88万
MPV,2025-02,33,红旗HQ9 PHEV,195,,35.88-53.88万
MPV,2025-02,34,奔腾NAT,190,4.54,13.98-16.48万
MPV,2025-02,35,睿蓝8,185,4.71,13.78-15.38万
MPV,2025-02,36,风光380,175,4.47,5.28-6.08万
MPV,2025-02,37,星海V9,130,4.55,19.99-27.99万
MPV,2025-02,38,极氪MIX,130,4.55,27.99-29.99万
MPV,2025-02,39,红旗HQ9,115,4.65,34.88-57.88万
MPV,2025-02,40,大家7,115,4.58,18.99-25.98万
MPV,2025-02,41,领途M8,90,4.71,
MPV,2025-02,42,荣威iMAX8新能源,85,4.47,19.99-35.98万
MPV,2025-02,43,嘉华,83,4.54,28.99-34.09万
MPV,2025-02,44,瑞风RF8 PHEV,75,4.53,20.99-36.99万
MPV,2025-02,45,菱智新能源,71,4.57,10.98-19.69万
MPV,2025-02,46,翼真L380,70,4.42,29.99-59.99万
MPV,2025-02,47,嘉际,61,4.50,10.97-11.97万
MPV,2025-02,48,比亚迪e6,50,4.23,
MPV,2025-02,49,大通G70,27,4.56,14.98-20.48万
MPV,2025-02,50,瑞风RF8,27,4.44,16.99-27.99万
