类别,月份,排名,车型,销量,口碑评分,价格区间
MPV,2025-05,01,腾势D9,8686,4.53,33.98-60.06万
MPV,2025-05,02,赛那SIENNA,8476,4.52,29.98-41.08万
MPV,2025-05,03,别克GL8新能源,7391,4.03,24.99-41.99万
MPV,2025-05,04,岚图梦想家,6540,4.54,32.99-44.99万
MPV,2025-05,05,格瑞维亚,6137,4.45,29.98-41.68万
MPV,2025-05,06,传祺M8,4999,4.47,17.98-34.28万
MPV,2025-05,07,别克GL8,4997,4.59,22.99-36.99万
MPV,2025-05,08,极狐 考拉,3256,4.59,13.18-16.98万
MPV,2025-05,09,小鹏X9,2767,4.54,35.98-41.98万
MPV,2025-05,10,夏,2611,4.41,24.98-30.98万
MPV,2025-05,11,传祺E8新能源,2276,4.48,21.68-23.88万
MPV,2025-05,12,魏牌 高山,2254,4.56,30.98-35.38万
MPV,2025-05,13,奥德赛,1949,4.42,23.58-43.98万
MPV,2025-05,14,菱智,1768,4.57,5.99-9.99万
MPV,2025-05,15,锐胜王牌M7,1535,4.59,6.18-15.38万
MPV,2025-05,16,五菱佳辰,1504,4.00,6.88-11.58万
MPV,2025-05,17,库斯途,1302,4.52,16.98-22.08万
MPV,2025-05,18,极氪009,1290,4.39,43.90-89.90万
MPV,2025-05,19,传祺M6,1259,4.53,11.98-14.58万
MPV,2025-05,20,理想MEGA,994,4.71,52.98-55.98万
MPV,2025-05,21,奔驰V级,954,4.60,49.68-66.98万
MPV,2025-05,22,威霆,932,4.29,33.68-38.68万
MPV,2025-05,23,威然,751,4.58,28.98-40.28万
MPV,2025-05,24,艾力绅,695,4.47,27.98-33.18万
MPV,2025-05,25,世纪,667,4.61,46.99-68.99万
MPV,2025-05,26,瑞风M3,621,4.48,6.58-12.79万
MPV,2025-05,27,大通G50,606,4.56,8.68-12.98万
MPV,2025-05,28,星海V9,498,4.55,19.99-27.99万
MPV,2025-05,29,极氪MIX,346,4.55,27.99-29.99万
MPV,2025-05,30,荣威iMAX8新能源,305,4.47,19.99-35.98万
MPV,2025-05,31,传祺E9,272,4.54,31.98-40.98万
MPV,2025-05,32,红旗HQ9 PHEV,272,,35.88-53.88万
MPV,2025-05,33,大通G10,268,4.63,10.80-18.98万
MPV,2025-05,34,红旗HQ9,256,4.65,34.88-57.88万
MPV,2025-05,35,五菱征程,254,4.43,6.98-9.08万
MPV,2025-05,36,瑞风E3,237,4.61,13.99-20.88万
MPV,2025-05,37,奔腾NAT,220,4.54,13.98-16.48万
MPV,2025-05,38,大通G50插电混动,217,4.55,13.98-14.98万
MPV,2025-05,39,风光380,158,4.47,5.28-6.08万
MPV,2025-05,40,大家7,154,4.58,18.99-25.98万
MPV,2025-05,41,嘉华,139,4.54,28.99-34.09万
MPV,2025-05,42,菱智新能源,102,4.57,10.98-19.69万
MPV,2025-05,43,领途E-M8,87,,14.18-17.28万
MPV,2025-05,44,比亚迪D1,78,4.50,16.08-16.98万
MPV,2025-05,45,途睿欧,77,4.55,21.96-26.00万
MPV,2025-05,46,大家9,72,4.49,25.99-40.99万
MPV,2025-05,47,翼真L380,68,4.42,29.99-59.99万
MPV,2025-05,48,荣威iMAX8,63,4.55,18.58-25.58万
MPV,2025-05,49,大通G90,57,4.50,19.99-30.98万
MPV,2025-05,50,比亚迪e6,54,4.23,
