排名,车名,销量,月份
01,星愿,28588,02
02,海鸥,26958,02
03,星越L,26632,02
04,小米SU7,23728,02
05,秦PLUS,22978,02
06,宏光MINIEV,22065,02
07,宋PLUS新能源,19373,02
08,朗逸,18911,02
09,Model 3,18771,02
10,速腾,18010,02
11,秦L,16213,02
12,帕萨特,15497,02
13,小鹏MONA M03,15312,02
14,星瑞,15127,02
15,宋Pro新能源,14997,02
16,缤越,14259,02
17,轩逸,14078,02
18,理想L6,13160,02
19,熊猫,12899,02
20,锋兰达,12760,02
21,长安CS75 PLUS,12616,02
22,海豹06新能源,12613,02
23,迈腾,12192,02
24,RAV4荣放,11584,02
25,探岳,10840,02
26,奔驰GLC,10827,02
27,元PLUS,10758,02
28,捷途X70,10613,02
29,瑞虎8,10608,02
30,博越L,10595,02
31,红旗H5,10540,02
32,元UP,10490,02
33,汉,10444,02
34,奥迪A6L,10333,02
35,途观L,10330,02
36,凯美瑞,10289,02
37,五菱缤果,10163,02
38,银河星舰7 EM-i,10070,02
39,长安Lumin,9970,02
40,途岳,9764,02
41,奔驰E级,9701,02
42,驱逐舰05,9347,02
43,宝马3系,9051,02
44,卡罗拉锐放,9017,02
45,奔驰C级,8851,02
46,智界R7,8748,02
47,奥迪Q5L,8646,02
48,逸动,8557,02
49,宋L DM-i,8555,02
50,本田CR-V,8359,02
51,哈弗大狗,8315,02
52,零跑C10,8054,02
53,银河E5,8016,02
54,Model Y,8006,02
55,雅阁,7741,02
56,腾势D9,7593,02
57,昂科威Plus,7554,02
58,帝豪,7538,02
59,哈弗H6,7515,02
60,奔腾小马,7405,02
61,小鹏P7+,7226,02
62,五菱宏光,7207,02
63,威兰达,7101,02
64,艾瑞泽8,6944,02
65,AION Y,6867,02
66,银河L6,6676,02
67,皓影,6503,02
68,五菱宏光V,6253,02
69,逍客,6203,02
70,荣威i5,6192,02
71,宝来,6154,02
72,宝马X3,6151,02
73,卡罗拉,6019,02
74,海豚,6011,02
75,深蓝S05,6009,02
76,理想L7,5783,02
77,亚洲龙,5701,02
78,红旗HS5,5638,02
79,领克03,5542,02
80,深蓝S07,5513,02
81,零跑C11,5325,02
82,奥迪A4L,5298,02
83,长安UNI-Z新能源,5297,02
84,长安X5 PLUS,5295,02
85,MG5,5276,02
86,问界M9,5242,02
87,AION S,5236,02
88,问界M7,5204,02
89,宝马5系,5159,02
90,极氪7X,5064,02
91,捷途旅行者,4976,02
92,零跑C16,4954,02
93,传祺GS3,4953,02
94,银河L7,4842,02
95,赛那SIENNA,4803,02
96,海豹06GT,4798,02
97,别克GL8,4786,02
98,红旗E-QM5,4616,02
99,瑞虎7,4485,02
100,捷达VS5,4313,02
101,T-ROC探歌,4268,02
102,唐新能源,4234,02
103,沃尔沃XC60,4212,02
104,乐道L60,4049,02
105,AION RT,4036,02
106,岚图梦想家,3972,02
107,极氪001,3933,02
108,坦克300,3889,02
109,iCAR V23,3856,02
110,宝马X1,3851,02
111,长安启源A07,3837,02
112,奥迪A3,3758,02
113,伊兰特,3613,02
114,天籁,3611,02
115,宝马X5,3604,02
116,格瑞维亚,3597,02
117,哈弗猛龙新能源,3551,02
118,蒙迪欧,3529,02
119,君越,3475,02
120,汉兰达,3466,02
121,捷途自由者,3431,02
122,理想L8,3340,02
123,理想L9,3300,02
124,五菱缤果PLUS,3283,02
125,奔驰GLB,3249,02
126,蔚来ES6,3214,02
127,风神L7,3146,02
128,领克Z20,3138,02
129,大众ID.3,3098,02
130,小鹏G6,3042,02
131,豹5,3020,02
132,纳米01,3017,02
133,五菱之光,3012,02
134,荣威D7,3010,02
135,魏牌 蓝山,3006,02
136,长安UNI-V,2988,02
137,瑞虎3x,2984,02
138,海狮05 DM-i,2893,02
139,雷凌,2830,02
140,坦克500新能源,2785,02
141,瑞虎5x,2777,02
142,五菱荣光,2764,02
143,夏,2733,02
144,凯迪拉克CT5,2731,02
145,阿维塔07,2642,02
146,深蓝SL03,2636,02
147,AION V,2590,02
148,皇冠陆放,2584,02
149,传祺M8,2542,02
150,蔚来ET5T,2526,02
