类别,月份,排名,车型,销量,口碑评分,价格区间
MPV,2025-01,01,腾势D9,10026,4.53,33.98-60.06万
MPV,2025-01,02,赛那SIENNA,6786,4.52,29.98-41.08万
MPV,2025-01,03,岚图梦想家,6071,4.54,32.99-44.99万
MPV,2025-01,04,别克GL8,5980,4.59,22.99-36.99万
MPV,2025-01,05,五菱征程,5424,4.43,6.98-9.08万
MPV,2025-01,06,格瑞维亚,5195,4.45,29.98-41.68万
MPV,2025-01,07,传祺M8,4991,4.47,17.98-34.28万
MPV,2025-01,08,夏,2794,4.41,24.98-30.98万
MPV,2025-01,09,极狐 考拉,2431,4.59,13.18-16.98万
MPV,2025-01,10,五菱凯捷,2333,4.44,8.58-14.98万
MPV,2025-01,11,别克GL8新能源,1783,4.03,24.99-41.99万
MPV,2025-01,12,奥德赛,1779,4.42,23.58-43.98万
MPV,2025-01,13,传祺E8新能源,1344,4.48,21.68-23.88万
MPV,2025-01,14,菱智,1294,4.57,5.99-9.99万
MPV,2025-01,15,锐胜王牌M7,1285,4.59,6.18-15.38万
MPV,2025-01,16,极氪009,1240,4.39,43.90-89.90万
MPV,2025-01,17,世纪,1085,4.61,46.99-68.99万
MPV,2025-01,18,传祺M6,936,4.53,11.98-14.58万
MPV,2025-01,19,威然,884,4.58,28.98-40.28万
MPV,2025-01,20,瑞风M3,841,4.48,6.58-12.79万
MPV,2025-01,21,库斯途,818,4.52,16.98-22.08万
MPV,2025-01,22,理想MEGA,807,4.71,52.98-55.98万
MPV,2025-01,23,艾力绅,802,4.47,27.98-33.18万
MPV,2025-01,24,小鹏X9,801,4.54,35.98-41.98万
MPV,2025-01,25,奔驰V级,748,4.60,49.68-66.98万
MPV,2025-01,26,大通G50,729,4.56,8.68-12.98万
MPV,2025-01,27,威霆,627,4.29,33.68-38.68万
MPV,2025-01,28,红旗HQ9,623,4.65,34.88-57.88万
MPV,2025-01,29,奔腾NAT,613,4.54,13.98-16.48万
MPV,2025-01,30,传祺E9,473,4.54,31.98-40.98万
MPV,2025-01,31,魏牌 高山,371,4.56,30.98-35.38万
MPV,2025-01,32,大通G10,360,4.63,10.80-18.98万
MPV,2025-01,33,红旗HQ9 PHEV,304,,35.88-53.88万
MPV,2025-01,34,嘉际,292,4.50,10.97-11.97万
MPV,2025-01,35,瑞风E3,279,4.61,13.99-20.88万
MPV,2025-01,36,星海V9,238,4.55,19.99-27.99万
MPV,2025-01,37,大家9,186,4.49,25.99-40.99万
MPV,2025-01,38,荣威iMAX8新能源,151,4.47,19.99-35.98万
MPV,2025-01,39,睿蓝8,113,4.71,13.78-15.38万
MPV,2025-01,40,翼真L380,112,4.42,29.99-59.99万
MPV,2025-01,41,风光380,111,4.47,5.28-6.08万
MPV,2025-01,42,嘉华,110,4.54,28.99-34.09万
MPV,2025-01,43,极氪MIX,100,4.55,27.99-29.99万
MPV,2025-01,44,领途M8,95,4.71,
MPV,2025-01,45,大家7,94,4.58,18.99-25.98万
MPV,2025-01,46,荣威iMAX8,90,4.55,18.58-25.58万
MPV,2025-01,47,瑞风RF8 PHEV,88,4.53,20.99-36.99万
MPV,2025-01,48,枫叶80v,83,4.28,8.98-15.98万
MPV,2025-01,49,沃尔沃EM90,83,4.59,
MPV,2025-01,50,奔腾M9,74,4.43,22.98-24.98万
