类别,月份,排名,车型,销量,口碑评分,价格区间
新能源,2025-04,01,星愿,36119,4.54,6.88-9.78万
新能源,2025-04,02,海鸥,34005,4.52,6.98-8.58万
新能源,2025-04,03,宏光MINIEV,28990,4.45,3.28-9.99万
新能源,2025-04,04,小米SU7,28585,4.42,21.59-29.99万
新能源,2025-04,05,秦PLUS,25557,4.48,7.98-17.98万
新能源,2025-04,06,秦L,24394,4.60,9.98-15.38万
新能源,2025-04,07,宋PLUS新能源,20668,4.48,13.58-18.08万
新能源,2025-04,08,Model Y,19984,4.40,26.35-31.35万
新能源,2025-04,09,熊猫,17831,4.59,2.99-5.39万
新能源,2025-04,10,理想L6,16755,4.52,24.98-27.98万
新能源,2025-04,11,宋Pro新能源,14263,4.45,10.28-14.28万
新能源,2025-04,12,小鹏MONA M03,14210,4.56,11.98-13.98万
新能源,2025-04,13,海豹06新能源,14024,4.43,9.98-13.98万
新能源,2025-04,14,长安Lumin,12667,4.53,3.79-6.59万
新能源,2025-04,15,元PLUS,12286,4.52,11.58-14.78万
新能源,2025-04,16,汉,11651,4.42,16.58-25.98万
新能源,2025-04,17,五菱缤果,11582,4.49,5.68-8.48万
新能源,2025-04,18,银河星舰7 EM-i,11114,4.48,9.78-13.08万
新能源,2025-04,19,问界M9,10407,4.66,46.98-56.98万
新能源,2025-04,20,宋L DM-i,10362,4.43,13.58-17.58万
新能源,2025-04,21,元UP,9942,4.46,9.68-11.98万
新能源,2025-04,22,银河E5,9792,4.52,10.78-14.38万
新能源,2025-04,23,零跑C11,9431,4.48,14.88-20.98万
新能源,2025-04,24,海豚,9326,4.53,9.98-12.98万
新能源,2025-04,25,腾势D9,9045,4.53,33.98-60.06万
新能源,2025-04,26,海狮05 EV,8971,4.51,11.78-13.78万
新能源,2025-04,27,Model 3,8747,4.58,23.55-33.95万
新能源,2025-04,28,理想L7,8102,4.56,30.18-35.98万
新能源,2025-04,29,银河L6,7836,4.61,7.98-10.68万
新能源,2025-04,30,深蓝S05,7549,4.48,11.99-14.59万
新能源,2025-04,31,小鹏P7+,7391,4.53,18.68-20.88万
新能源,2025-04,32,AION Y,7364,4.59,9.98-14.58万
新能源,2025-04,33,零跑C10,7256,4.54,12.28-16.88万
新能源,2025-04,34,蔚来ES6,6866,4.60,33.80-39.60万
新能源,2025-04,35,铂智3X,6727,4.68,10.98-15.98万
新能源,2025-04,36,岚图梦想家,6719,4.54,32.99-44.99万
新能源,2025-04,37,唐新能源,6269,4.46,17.98-26.98万
新能源,2025-04,38,领克Z20,6238,4.51,13.59-15.09万
新能源,2025-04,39,蔚来ET5T,6015,4.37,29.80-35.60万
新能源,2025-04,40,驱逐舰05,5991,4.52,7.98-13.68万
新能源,2025-04,41,AION S,5977,4.47,13.98-14.68万
新能源,2025-04,42,哈弗猛龙新能源,5608,4.55,16.58-19.28万
新能源,2025-04,43,长安UNI-Z新能源,5511,4.43,11.79-13.39万
新能源,2025-04,44,小鹏G6,5485,4.59,17.68-19.88万
新能源,2025-04,45,零跑T03,5458,4.60,5.99-6.99万
新能源,2025-04,46,深蓝S07,5369,4.49,15.99-19.79万
新能源,2025-04,47,唐L,5229,4.55,22.98-28.98万
新能源,2025-04,48,理想L8,5178,4.51,32.18-37.98万
新能源,2025-04,49,零跑C16,5173,4.55,15.18-18.98万
新能源,2025-04,50,奔腾小马,5095,4.50,2.49-5.39万
