类别,月份,排名,车型,销量,口碑评分,价格区间
新能源,2025-05,01,星愿,38715,4.54,6.88-9.78万
新能源,2025-05,02,海鸥,31105,4.52,6.98-8.58万
新能源,2025-05,03,秦PLUS,29328,4.48,7.98-17.98万
新能源,2025-05,04,宏光MINIEV,29017,4.45,3.28-9.99万
新能源,2025-05,05,小米SU7,28013,4.42,21.59-29.99万
新能源,2025-05,06,秦L,25321,4.60,9.98-15.38万
新能源,2025-05,07,Model Y,24770,4.40,26.35-31.35万
新能源,2025-05,08,宋PLUS新能源,24240,4.48,13.58-18.08万
新能源,2025-05,09,理想L6,18781,4.52,24.98-27.98万
新能源,2025-05,10,熊猫,17155,4.59,2.99-5.39万
新能源,2025-05,11,海豹06新能源,15787,4.43,9.98-13.98万
新能源,2025-05,12,五菱缤果,15550,4.49,5.68-8.48万
新能源,2025-05,13,问界M9,15481,4.66,46.98-56.98万
新能源,2025-05,14,宋L DM-i,14537,4.43,13.58-17.58万
新能源,2025-05,15,宋Pro新能源,14440,4.45,10.28-14.28万
新能源,2025-05,16,Model 3,13818,4.58,23.55-33.95万
新能源,2025-05,17,海豚,13547,4.53,9.98-12.98万
新能源,2025-05,18,元UP,13047,4.46,9.68-11.98万
新能源,2025-05,19,零跑C10,12631,4.54,12.28-16.88万
新能源,2025-05,20,长安Lumin,12439,4.53,3.79-6.59万
新能源,2025-05,21,元PLUS,12255,4.52,11.58-14.78万
新能源,2025-05,22,问界M8,12116,4.51,35.98-44.98万
新能源,2025-05,23,海狮05 EV,11943,4.51,11.78-13.78万
新能源,2025-05,24,小鹏MONA M03,10900,4.56,11.98-13.98万
新能源,2025-05,25,汉,10279,4.42,16.58-25.98万
新能源,2025-05,26,银河星耀8,10187,4.45,12.58-16.58万
新能源,2025-05,27,零跑B10,10105,4.58,9.98-14.98万
新能源,2025-05,28,银河星舰7 EM-i,10051,4.48,9.78-13.08万
新能源,2025-05,29,理想L7,10016,4.56,30.18-35.98万
新能源,2025-05,30,深蓝S05,8835,4.48,11.99-14.59万
新能源,2025-05,31,腾势D9,8686,4.53,33.98-60.06万
新能源,2025-05,32,银河E5,8460,4.52,10.78-14.38万
新能源,2025-05,33,极氪007,8421,4.50,20.99-29.99万
新能源,2025-05,34,零跑C11,8225,4.48,14.88-20.98万
新能源,2025-05,35,哈弗枭龙MAX,8168,4.52,13.18-16.98万
新能源,2025-05,36,长安启源Q07,8081,4.48,12.98-17.18万
新能源,2025-05,37,深蓝S07,7666,4.49,15.99-19.79万
新能源,2025-05,38,海豹05 DM-i,7631,4.55,7.98-10.38万
新能源,2025-05,39,别克GL8新能源,7391,4.03,24.99-41.99万
新能源,2025-05,40,奔腾小马,7103,4.50,2.49-5.39万
新能源,2025-05,41,唐L,7004,4.55,22.98-28.98万
新能源,2025-05,42,银河L6,6766,4.61,7.98-10.68万
新能源,2025-05,43,小鹏P7+,6600,4.53,18.68-20.88万
新能源,2025-05,44,AION S,6549,4.47,13.98-14.68万
新能源,2025-05,45,岚图梦想家,6540,4.54,32.99-44.99万
新能源,2025-05,46,AION Y,6461,4.59,9.98-14.58万
新能源,2025-05,47,阿维塔06,6368,4.57,20.99-27.99万
新能源,2025-05,48,乐道L60,6281,4.53,20.69-25.59万
新能源,2025-05,49,唐新能源,5951,4.46,17.98-26.98万
新能源,2025-05,50,长安UNI-Z新能源,5900,4.43,11.79-13.39万
