类别,月份,排名,车型,销量,口碑评分,价格区间
轿车,2025-01,01,星愿,28146,4.54,6.88-9.78万
轿车,2025-01,02,速腾,25745,4.39,13.99-17.29万
轿车,2025-01,03,帕萨特,25411,4.40,16.45-23.99万
轿车,2025-01,04,宏光MINIEV,24924,4.45,3.28-9.99万
轿车,2025-01,05,轩逸,23959,4.38,10.86-17.49万
轿车,2025-01,06,朗逸,23863,3.64,8.00-15.19万
轿车,2025-01,07,星瑞,23294,4.49,9.97-13.87万
轿车,2025-01,08,小米SU7,22897,4.42,21.59-29.99万
轿车,2025-01,09,秦PLUS,19735,4.48,7.98-17.98万
轿车,2025-01,10,奥迪A6L,19710,4.53,42.79-65.68万
轿车,2025-01,11,海鸥,18171,4.52,6.98-8.58万
轿车,2025-01,12,红旗H5,17627,4.49,15.98-22.58万
轿车,2025-01,13,帝豪,17508,4.53,6.29-14.98万
轿车,2025-01,14,逸动,17013,4.57,7.29-9.69万
轿车,2025-01,15,雅阁,16763,4.51,17.98-23.88万
轿车,2025-01,16,迈腾,16247,4.61,17.49-24.69万
轿车,2025-01,17,艾瑞泽8,16195,4.34,9.99-14.89万
轿车,2025-01,18,秦L,16047,4.60,9.98-15.38万
轿车,2025-01,19,熊猫,15932,4.59,2.99-5.39万
轿车,2025-01,20,凯美瑞,15696,4.37,17.18-25.98万
轿车,2025-01,21,小鹏MONA M03,15225,4.56,11.98-13.98万
轿车,2025-01,22,海豹06新能源,14492,4.43,9.98-13.98万
轿车,2025-01,23,宝马3系,14075,4.51,31.99-39.99万
轿车,2025-01,24,汉,13484,4.42,16.58-25.98万
轿车,2025-01,25,五菱缤果,12130,4.49,5.68-8.48万
轿车,2025-01,26,奔驰E级,12100,4.43,45.18-59.98万
轿车,2025-01,27,宝马5系,10625,4.51,43.99-52.59万
轿车,2025-01,28,卡罗拉,10530,3.86,11.68-15.58万
轿车,2025-01,29,奔驰C级,10089,4.48,33.48-38.06万
轿车,2025-01,30,驱逐舰05,9945,4.52,7.98-13.68万
轿车,2025-01,31,思域,9155,4.47,12.99-18.79万
轿车,2025-01,32,奥迪A4L,8955,4.54,28.98-36.28万
轿车,2025-01,33,亚洲龙,8573,4.42,17.88-25.68万
轿车,2025-01,34,领克03,8260,4.45,12.78-42.03万
轿车,2025-01,35,小鹏P7+,8114,4.53,18.68-20.88万
轿车,2025-01,36,Model 3,8009,4.58,23.55-33.95万
轿车,2025-01,37,长安Lumin,7861,4.53,3.79-6.59万
轿车,2025-01,38,长安UNI-V,7080,4.54,10.89-13.99万
轿车,2025-01,39,宝来,7035,4.23,11.29-14.39万
轿车,2025-01,40,伊兰特,6707,4.49,9.98-14.98万
轿车,2025-01,41,荣威i5,6340,4.14,6.89-9.09万
轿车,2025-01,42,MG5,6134,4.52,6.79-9.99万
轿车,2025-01,43,蒙迪欧,5706,4.48,14.98-22.98万
轿车,2025-01,44,天籁,5522,4.49,17.98-23.98万
轿车,2025-01,45,奔腾小马,5316,4.50,2.49-5.39万
轿车,2025-01,46,君越,5112,4.58,17.99-23.99万
轿车,2025-01,47,凯迪拉克CT5,5069,4.37,28.99-34.59万
轿车,2025-01,48,型格,4684,4.48,12.99-18.69万
轿车,2025-01,49,海豚,4655,4.53,9.98-12.98万
轿车,2025-01,50,奥迪A3,4535,4.48,16.59-20.99万
