类别,月份,排名,车型,销量,口碑评分,价格区间
新能源,2025-02,01,星愿,28588,4.54,6.88-9.78万
新能源,2025-02,02,海鸥,26958,4.52,6.98-8.58万
新能源,2025-02,03,小米SU7,23728,4.42,21.59-29.99万
新能源,2025-02,04,秦PLUS,22978,4.48,7.98-17.98万
新能源,2025-02,05,宏光MINIEV,22065,4.45,3.28-9.99万
新能源,2025-02,06,宋PLUS新能源,19373,4.48,13.58-18.08万
新能源,2025-02,07,Model 3,18771,4.58,23.55-33.95万
新能源,2025-02,08,秦L,16213,4.60,9.98-15.38万
新能源,2025-02,09,小鹏MONA M03,15312,4.56,11.98-13.98万
新能源,2025-02,10,宋Pro新能源,14997,4.45,10.28-14.28万
新能源,2025-02,11,理想L6,13160,4.52,24.98-27.98万
新能源,2025-02,12,熊猫,12899,4.59,2.99-5.39万
新能源,2025-02,13,海豹06新能源,12613,4.43,9.98-13.98万
新能源,2025-02,14,元PLUS,10758,4.52,11.58-14.78万
新能源,2025-02,15,元UP,10490,4.46,9.68-11.98万
新能源,2025-02,16,汉,10444,4.42,16.58-25.98万
新能源,2025-02,17,五菱缤果,10163,4.49,5.68-8.48万
新能源,2025-02,18,银河星舰7 EM-i,10070,4.48,9.78-13.08万
新能源,2025-02,19,长安Lumin,9970,4.53,3.79-6.59万
新能源,2025-02,20,驱逐舰05,9347,4.52,7.98-13.68万
新能源,2025-02,21,智界R7,8748,4.55,24.98-33.98万
新能源,2025-02,22,宋L DM-i,8555,4.43,13.58-17.58万
新能源,2025-02,23,零跑C10,8054,4.54,12.28-16.88万
新能源,2025-02,24,银河E5,8016,4.52,10.78-14.38万
新能源,2025-02,25,Model Y,8006,4.40,26.35-31.35万
新能源,2025-02,26,腾势D9,7593,4.53,33.98-60.06万
新能源,2025-02,27,奔腾小马,7405,4.50,2.49-5.39万
新能源,2025-02,28,小鹏P7+,7226,4.53,18.68-20.88万
新能源,2025-02,29,AION Y,6867,4.59,9.98-14.58万
新能源,2025-02,30,银河L6,6676,4.61,7.98-10.68万
新能源,2025-02,31,海豚,6011,4.53,9.98-12.98万
新能源,2025-02,32,深蓝S05,6009,4.48,11.99-14.59万
新能源,2025-02,33,理想L7,5783,4.56,30.18-35.98万
新能源,2025-02,34,深蓝S07,5513,4.49,15.99-19.79万
新能源,2025-02,35,零跑C11,5325,4.48,14.88-20.98万
新能源,2025-02,36,长安UNI-Z新能源,5297,4.43,11.79-13.39万
新能源,2025-02,37,问界M9,5242,4.66,46.98-56.98万
新能源,2025-02,38,AION S,5236,4.47,13.98-14.68万
新能源,2025-02,39,问界M7,5204,4.55,24.98-32.98万
新能源,2025-02,40,极氪7X,5064,4.54,22.99-26.99万
新能源,2025-02,41,零跑C16,4954,4.55,15.18-18.98万
新能源,2025-02,42,银河L7,4842,4.45,11.58-16.97万
新能源,2025-02,43,海豹06GT,4798,4.46,13.68-18.68万
新能源,2025-02,44,红旗E-QM5,4616,4.58,12.18-23.98万
新能源,2025-02,45,唐新能源,4234,4.46,17.98-26.98万
新能源,2025-02,46,乐道L60,4049,4.53,20.69-25.59万
新能源,2025-02,47,AION RT,4036,4.57,11.98-16.58万
新能源,2025-02,48,岚图梦想家,3972,4.54,32.99-44.99万
新能源,2025-02,49,极氪001,3933,4.52,25.90-32.90万
新能源,2025-02,50,iCAR V23,3856,4.60,10.98-14.98万
