排名,车名,销量,月份
01,星越L,29434,01
02,星愿,28146,01
03,速腾,25745,01
04,Model Y,25694,01
05,帕萨特,25411,01
06,宏光MINIEV,24924,01
07,轩逸,23959,01
08,朗逸,23863,01
09,长安CS75 PLUS,23493,01
10,星瑞,23294,01
11,小米SU7,22897,01
12,博越L,21839,01
13,银河星舰7 EM-i,20328,01
14,宋PLUS新能源,20138,01
15,瑞虎8,19949,01
16,秦PLUS,19735,01
17,奥迪A6L,19710,01
18,海鸥,18171,01
19,红旗H5,17627,01
20,帝豪,17508,01
21,锋兰达,17242,01
22,逸动,17013,01
23,途观L,16865,01
24,雅阁,16763,01
25,迈腾,16247,01
26,艾瑞泽8,16195,01
27,本田CR-V,16076,01
28,秦L,16047,01
29,熊猫,15932,01
30,宋Pro新能源,15698,01
31,凯美瑞,15696,01
32,小鹏MONA M03,15225,01
33,海豹06新能源,14492,01
34,捷途X70,14351,01
35,探岳,14284,01
36,宝马3系,14075,01
37,理想L6,13990,01
38,RAV4荣放,13602,01
39,汉,13484,01
40,奥迪Q5L,13348,01
41,途岳,13201,01
42,银河E5,12880,01
43,问界M9,12483,01
44,威兰达,12252,01
45,五菱缤果,12130,01
46,奔驰E级,12100,01
47,哈弗大狗,11767,01
48,智界R7,11422,01
49,奔驰GLC,10999,01
50,皓影,10944,01
51,宋L DM-i,10689,01
52,宝马5系,10625,01
53,卡罗拉,10530,01
54,昂科威Plus,10331,01
55,卡罗拉锐放,10132,01
56,奔驰C级,10089,01
57,腾势D9,10026,01
58,驱逐舰05,9945,01
59,宝马X5,9413,01
60,思域,9155,01
61,长安欧尚X5 PLUS,9049,01
62,哈弗H6,9022,01
63,红旗HS5,8959,01
64,奥迪A4L,8955,01
65,元PLUS,8902,01
66,亚洲龙,8573,01
67,宝马X3,8542,01
68,问界M7,8443,01
69,领克03,8260,01
70,捷途旅行者,8174,01
71,小鹏P7+,8114,01
72,Model 3,8009,01
73,长安Lumin,7861,01
74,逍客,7824,01
75,瑞虎7,7712,01
76,银河L7,7630,01
77,长安UNI-V,7080,01
78,宝来,7035,01
79,长安UNI-Z新能源,6877,01
80,缤越,6795,01
81,赛那SIENNA,6786,01
82,五菱宏光V,6712,01
83,伊兰特,6707,01
84,唐新能源,6650,01
85,理想L7,6493,01
86,iCAR V23,6397,01
87,领克Z20,6368,01
88,零跑C10,6358,01
89,荣威i5,6340,01
90,MG5,6134,01
91,岚图梦想家,6071,01
92,元UP,6050,01
93,汉兰达,5999,01
94,别克GL8,5980,01
95,零跑C11,5948,01
96,乐道L60,5912,01
97,沃尔沃XC60,5765,01
98,蒙迪欧,5706,01
99,深蓝S07,5604,01
100,天籁,5522,01
101,传祺GS3,5452,01
102,长安CS55PLUS,5445,01
103,捷途山海T2,5433,01
104,五菱征程,5424,01
105,奔腾小马,5316,01
106,捷达VS5,5310,01
107,零跑C16,5261,01
108,格瑞维亚,5195,01
109,宝马X1,5122,01
110,君越,5112,01
111,凯迪拉克CT5,5069,01
112,哈弗猛龙新能源,5043,01
113,传祺M8,4991,01
114,坦克500新能源,4959,01
115,AION Y,4851,01
116,捷途大圣,4846,01
117,阿维塔07,4731,01
118,型格,4684,01
119,瑞虎9,4684,01
120,海豚,4655,01
121,深蓝S05,4645,01
122,奥迪A3,4535,01
123,银河L6,4526,01
124,零跑T03,4519,01
125,领克06,4457,01
126,红旗E-QM5,4456,01
