排名,车系,销量
1,五菱征程,10536
2,格瑞维亚,10513
3,岚图梦想家,10116
4,腾势D9,10006
5,传祺M6,9413
6,传祺E8新能源,9244
7,别克GL8,8877
8,赛那SIENNA,7461
9,传祺M8,7103
10,威然,3857
11,极氪009,3609
12,奥德赛,3555
13,别克GL8新能源,3438
14,五菱凯捷,2905
15,极狐 考拉,2390
16,菱智,2123
17,奔腾NAT,1844
18,艾力绅,1467
19,锐胜王牌M7,1457
20,小鹏X9,1379
21,理想MEGA,1255
22,威霆,1207
23,奔驰V级,1149
24,世纪,1097
25,传祺E9,1052
26,库斯途,961
27,星海V9,835
28,荣威iMAX8新能源,724
29,大通G10,481
30,瑞风M3,479
31,红旗HQ9 PHEV,428
32,魏牌 高山,418
33,大家9,372
34,风光380,334
35,比亚迪e6,312
36,瑞风E3,302
37,翼真L380,295
38,极氪MIX,277
39,嘉际,255
40,睿蓝8,198
41,嘉华,195
42,大家7,182
43,大家5,151
44,红旗HQ9,141
45,瑞风RF8 PHEV,137
46,沃尔沃EM90,108
47,荣威iMAX8,106
48,领途E-M8,96
49,大通G70,87
50,大通G90,79
51,领途M8,63
52,途睿欧,59
53,途安,50
54,大通G50,48
55,比亚迪D1,44
56,枫叶80v,44
57,海马INJOY,44
58,瑞风RF8,43
59,合创V09,40
60,奔腾M9,33
61,海马7X,19
62,五菱佳辰,11
63,风光E380,7
64,宋MAX新能源,2
