排名,车系,销量
1,腾势D9,9045
2,赛那SIENNA,8248
3,岚图梦想家,6719
4,格瑞维亚,6651
5,别克GL8,5590
6,传祺M8,4346
7,夏,3863
8,别克GL8新能源,3842
9,传祺E8新能源,2655
10,极狐 考拉,1779
11,奥德赛,1740
12,极氪009,1527
13,小鹏X9,1502
14,菱智,1450
15,五菱佳辰,1405
16,库斯途,1347
17,传祺M6,1304
18,锐胜王牌M7,1275
19,奔驰V级,1023
20,威然,899
21,艾力绅,794
22,威霆,776
23,世纪,752
24,瑞风M3,640
25,大通G50,623
26,奔腾NAT,585
27,传祺E9,431
28,大通G10,327
29,荣威iMAX8新能源,322
30,红旗HQ9 PHEV,319
31,魏牌 高山,304
32,大通G50插电混动,231
33,星海V9,227
34,风光380,205
35,荣威iMAX8,203
36,五菱征程,191
37,瑞风E3,165
38,菱智新能源,130
39,嘉华,125
40,大家9,118
41,大家7,114
42,极氪MIX,109
43,翼真L380,107
44,理想MEGA,103
45,途睿欧,102
46,红旗HQ9,95
47,领途E-M8,92
48,嘉际,72
49,瑞风RF8 PHEV,70
50,睿蓝8,70
51,大通G70,44
52,合创V09,36
53,瑞风RF8,30
54,沃尔沃EM90,28
55,比亚迪D1,23
56,枫叶80v,23
57,风行游艇,18
58,大通G90,18
59,海马7X新能源,11
60,大家5,11
61,途安,7
62,风光E380,6
63,奔腾M9,5
