排名,车系,销量
1,腾势D9,9326
2,赛那SIENNA,8385
3,岚图梦想家,6508
4,格瑞维亚,6120
5,别克GL8,6101
6,传祺M8,3827
7,极狐 考拉,3307
8,极氪009,3157
9,夏,2961
10,传祺M6,2896
11,传祺E8新能源,2448
12,奥德赛,2048
13,五菱佳辰,1829
14,菱智,1675
15,别克GL8新能源,1664
16,威然,1572
17,锐胜王牌M7,1304
18,库斯途,1123
19,小鹏X9,1021
20,瑞风M3,1014
21,奔驰V级,980
22,威霆,919
23,理想MEGA,916
24,大通G50,890
25,艾力绅,845
26,世纪,731
27,奔腾NAT,566
28,比亚迪e6,465
29,传祺E9,424
30,魏牌 高山,402
31,五菱征程,350
32,大家9,348
33,荣威iMAX8新能源,345
34,红旗HQ9 PHEV,332
35,大通G10,328
36,星海V9,318
37,红旗HQ9,221
38,风光380,219
39,极氪MIX,162
40,荣威iMAX8,156
41,瑞风E3,151
42,翼真L380,150
43,大通G50插电混动,129
44,嘉华,127
45,菱智新能源,111
46,大家7,104
47,睿蓝8,102
48,领途E-M8,87
49,途睿欧,82
50,途安,62
51,嘉际,60
52,枫叶80v,52
53,比亚迪D1,51
54,瑞风RF8 PHEV,39
55,沃尔沃EM90,33
56,大通G70,29
57,瑞风RF8,29
58,大通G90,28
59,风行游艇,22
60,大家5,22
61,风光E380,12
62,合创V09,2
