排名,车系,销量
1,腾势D9,10026
2,赛那SIENNA,6786
3,岚图梦想家,6071
4,别克GL8,5980
5,五菱征程,5424
6,格瑞维亚,5195
7,传祺M8,4991
8,夏,2794
9,极狐 考拉,2431
10,五菱凯捷,2333
11,别克GL8新能源,1783
12,奥德赛,1779
13,传祺E8新能源,1344
14,菱智,1294
15,锐胜王牌M7,1285
16,极氪009,1240
17,世纪,1085
18,传祺M6,936
19,威然,884
20,瑞风M3,841
21,库斯途,818
22,理想MEGA,807
23,艾力绅,802
24,小鹏X9,801
25,奔驰V级,748
26,大通G50,729
27,威霆,627
28,红旗HQ9,623
29,奔腾NAT,613
30,传祺E9,473
31,魏牌 高山,371
32,大通G10,360
33,红旗HQ9 PHEV,304
34,嘉际,292
35,瑞风E3,279
36,星海V9,238
37,大家9,186
38,荣威iMAX8新能源,151
39,睿蓝8,113
40,翼真L380,112
41,风光380,111
42,嘉华,110
43,极氪MIX,100
44,领途M8,95
45,大家7,94
46,荣威iMAX8,90
47,瑞风RF8 PHEV,88
48,枫叶80v,83
49,沃尔沃EM90,83
50,奔腾M9,74
51,风行游艇,41
52,大家5,38
53,大通G90,35
54,比亚迪e6,33
55,大通G70,30
56,菱智新能源,27
57,瑞风RF8,22
58,比亚迪D1,13
59,途安,12
60,途睿欧,12
61,五菱佳辰,11
62,风光E380,7
63,宋MAX新能源,1
